id,name,component,type,language,module,source_file,source_line,table_name,column_type,nullable,primary_key,foreign_key,from_table,to_table,cardinality,tags,description
java_class_ed3fef31f6f03e9d,MariaDbDao,MariaDbDao,class,java,net.netbeing.cheap.db.mariadb,D:\src\claude\cheap\cheap-db-mariadb\src\main\java\net\netbeing\cheap\db\mariadb\MariaDbDao.java,158,,,,,,,,,,"Data Access Object for persisting and loading complete Catalog instances
to/from a MariaDB database using the Cheap schema.
<p>
This DAO provides comprehensive persistence capabilities for the entire Cheap data model,
including catalogs, aspect definitions, hierarchies, entities, aspects, and properties.
It supports transactional saves and loads with full referential integrity.
</p>

<h2>Key Features</h2>
<ul>
  <li><b>Full Model Persistence:</b> Saves/loads complete catalog structures including all
      definitions, entities, hierarchies, aspects, and properties</li>
  <li><b>Transaction Management:</b> All save operations execute within transactions with
      automatic rollback on failure</li>
  <li><b>Two Persistence Modes:</b> Supports both default schema tables and custom table
      mappings via {@link AspectTableMapping}</li>
  <li><b>DDL Management:</b> Provides methods to create, audit, and drop the Cheap database schema</li>
  <li><b>CheapFactory Integratio"
java_class_0f155d55111f748c,MariaDbDaoTest,MariaDbDaoTest,class,java,net.netbeing.cheap.db.mariadb,D:\src\claude\cheap\cheap-db-mariadb\src\test\java\net\netbeing\cheap\db\mariadb\MariaDbDaoTest.java,47,,,,,,,,,,net.netbeing.cheap.db.mariadb.MariaDbDaoTest
java_class_5ef66bf1f3ef2f66,MariaDbJsonRoundtripTest,MariaDbJsonRoundtripTest,class,java,net.netbeing.cheap.db.mariadb,D:\src\claude\cheap\cheap-db-mariadb\src\test\java\net\netbeing\cheap\db\mariadb\MariaDbJsonRoundtripTest.java,41,,,,,,,,,,net.netbeing.cheap.db.mariadb.MariaDbJsonRoundtripTest
java_class_ff3765e5cea9ecec,MariaDbTestDb,MariaDbTestDb,class,java,net.netbeing.cheap.db.mariadb,D:\src\claude\cheap\cheap-db-mariadb\src\test\java\net\netbeing\cheap\db\mariadb\MariaDbTestDb.java,27,,,,,,,,,,net.netbeing.cheap.db.mariadb.MariaDbTestDb
java_class_4a782350751f7831,MariaDbCatalogTestBase,MariaDbCatalogTest,class,java,net.netbeing.cheap.db.mariadb.MariaDbCatalogTest,D:\src\claude\cheap\cheap-db-mariadb\src\test\java\net\netbeing\cheap\db\mariadb\MariaDbCatalogTest.java,44,,,,,,,,,,net.netbeing.cheap.db.mariadb.MariaDbCatalogTest.MariaDbCatalogTestBase
java_class_dcdf753fdbc63002,WithForeignKeys,MariaDbCatalogTest,class,java,net.netbeing.cheap.db.mariadb.MariaDbCatalogTest,D:\src\claude\cheap\cheap-db-mariadb\src\test\java\net\netbeing\cheap\db\mariadb\MariaDbCatalogTest.java,353,,,,,,,,,,net.netbeing.cheap.db.mariadb.MariaDbCatalogTest.WithForeignKeys
java_class_fa7c69cabc3fafbd,WithoutForeignKeys,MariaDbCatalogTest,class,java,net.netbeing.cheap.db.mariadb.MariaDbCatalogTest,D:\src\claude\cheap\cheap-db-mariadb\src\test\java\net\netbeing\cheap\db\mariadb\MariaDbCatalogTest.java,335,,,,,,,,,,net.netbeing.cheap.db.mariadb.MariaDbCatalogTest.WithoutForeignKeys
java_class_a7de3595d0e639ca,MariaDbDaoTestBase,MariaDbDaoTest,class,java,net.netbeing.cheap.db.mariadb.MariaDbDaoTest,D:\src\claude\cheap\cheap-db-mariadb\src\test\java\net\netbeing\cheap\db\mariadb\MariaDbDaoTest.java,50,,,,,,,,,,net.netbeing.cheap.db.mariadb.MariaDbDaoTest.MariaDbDaoTestBase
java_class_74e38069a8c0a581,WithForeignKeys,MariaDbDaoTest,class,java,net.netbeing.cheap.db.mariadb.MariaDbDaoTest,D:\src\claude\cheap\cheap-db-mariadb\src\test\java\net\netbeing\cheap\db\mariadb\MariaDbDaoTest.java,1313,,,,,,,,,,net.netbeing.cheap.db.mariadb.MariaDbDaoTest.WithForeignKeys
java_class_305e4d7c9789a1d4,WithoutForeignKeys,MariaDbDaoTest,class,java,net.netbeing.cheap.db.mariadb.MariaDbDaoTest,D:\src\claude\cheap\cheap-db-mariadb\src\test\java\net\netbeing\cheap\db\mariadb\MariaDbDaoTest.java,1294,,,,,,,,,,net.netbeing.cheap.db.mariadb.MariaDbDaoTest.WithoutForeignKeys
java_class_7603ab31ec4ca267,MariaDbJsonRoundtripTestBase,MariaDbJsonRoundtripTest,class,java,net.netbeing.cheap.db.mariadb.MariaDbJsonRoundtripTest,D:\src\claude\cheap\cheap-db-mariadb\src\test\java\net\netbeing\cheap\db\mariadb\MariaDbJsonRoundtripTest.java,44,,,,,,,,,,net.netbeing.cheap.db.mariadb.MariaDbJsonRoundtripTest.MariaDbJsonRoundtripTestBase
java_class_9884cc905ee383c9,WithForeignKeys,MariaDbJsonRoundtripTest,class,java,net.netbeing.cheap.db.mariadb.MariaDbJsonRoundtripTest,D:\src\claude\cheap\cheap-db-mariadb\src\test\java\net\netbeing\cheap\db\mariadb\MariaDbJsonRoundtripTest.java,116,,,,,,,,,,net.netbeing.cheap.db.mariadb.MariaDbJsonRoundtripTest.WithForeignKeys
java_class_a0d94f9c0d6d4069,WithoutForeignKeys,MariaDbJsonRoundtripTest,class,java,net.netbeing.cheap.db.mariadb.MariaDbJsonRoundtripTest,D:\src\claude\cheap\cheap-db-mariadb\src\test\java\net\netbeing\cheap\db\mariadb\MariaDbJsonRoundtripTest.java,97,,,,,,,,,,net.netbeing.cheap.db.mariadb.MariaDbJsonRoundtripTest.WithoutForeignKeys
java_class_7194d29d4bffb255,PostgresAdapter,PostgresAdapter,class,java,net.netbeing.cheap.db.postgres,D:\src\claude\cheap\cheap-db-postgres\src\main\java\net\netbeing\cheap\db\postgres\PostgresAdapter.java,28,,,,,,,,,,net.netbeing.cheap.db.postgres.PostgresAdapter
java_class_f76321d7ee179c66,PostgresCatalog,PostgresCatalog,class,java,net.netbeing.cheap.db.postgres,D:\src\claude\cheap\cheap-db-postgres\src\main\java\net\netbeing\cheap\db\postgres\PostgresCatalog.java,87,,,,,,,,,,"Catalog implementation that loads PostgreSQL database tables as Cheap AspectMapHierarchies.
<p>
This class extends {@link JdbcCatalogBase} to provide PostgreSQL-specific database metadata
access and type mapping. It introspects PostgreSQL database schemas to automatically create
AspectDefs from table definitions, and loads table data as aspects within the catalog.
</p>
<p>
Each table in the PostgreSQL database is represented as an AspectDef with properties
corresponding to the table's columns. The table data is loaded into an AspectMapHierarchy
where each row becomes an Aspect attached to an Entity.
</p>
<p>
PostgreSQL-specific characteristics handled by this class:
</p>
<ul>
  <li>Schema support (defaults to ""public"" schema)</li>
  <li>Rich type system including UUID, JSON, arrays, geometric types, etc.</li>
  <li>Metadata accessed via information_schema.tables</li>
  <li>Strong type checking with custom type conversions</li>
  <li>Support for serial/bigserial auto-"
java_class_9120b3a7c13f595c,PostgresCatalogTest,PostgresCatalogTest,class,java,net.netbeing.cheap.db.postgres,D:\src\claude\cheap\cheap-db-postgres\src\test\java\net\netbeing\cheap\db\postgres\PostgresCatalogTest.java,42,,,,,,,,,,net.netbeing.cheap.db.postgres.PostgresCatalogTest
java_class_2d7baaf6e2818446,PostgresCheapSchema,PostgresCheapSchema,class,java,net.netbeing.cheap.db.postgres,D:\src\claude\cheap\cheap-db-postgres\src\main\java\net\netbeing\cheap\db\postgres\PostgresCheapSchema.java,51,,,,,,,,,,"Utility class for executing PostgreSQL DDL scripts to manage the Cheap database schema.
Provides methods to create, audit, drop, and truncate the Cheap schema in PostgreSQL databases.

<h2>Usage</h2>
<pre>{@code
DataSource dataSource = createPostgresDataSource(""jdbc:postgresql://localhost/cheapdb"");
PostgresCheapSchema schema = new PostgresCheapSchema();

// Create the schema
schema.executeMainSchemaDdl(dataSource);

// Add audit columns
schema.executeAuditSchemaDdl(dataSource);

// Clear all data
schema.executeTruncateSchemaDdl(dataSource);

// Drop the schema
schema.executeDropSchemaDdl(dataSource);
}</pre>
"
java_class_3b0e296703744377,PostgresCheapSchemaTest,PostgresCheapSchemaTest,class,java,net.netbeing.cheap.db.postgres,D:\src\claude\cheap\cheap-db-postgres\src\test\java\net\netbeing\cheap\db\postgres\PostgresCheapSchemaTest.java,34,,,,,,,,,,net.netbeing.cheap.db.postgres.PostgresCheapSchemaTest
java_class_142d2480906b496f,PostgresDao,PostgresDao,class,java,net.netbeing.cheap.db.postgres,D:\src\claude\cheap\cheap-db-postgres\src\main\java\net\netbeing\cheap\db\postgres\PostgresDao.java,157,,,,,,,,,,"Data Access Object for persisting and loading complete Catalog instances
to/from a PostgreSQL database using the Cheap schema.
<p>
This DAO provides comprehensive persistence capabilities for the entire Cheap data model,
including catalogs, aspect definitions, hierarchies, entities, aspects, and properties.
It supports transactional saves and loads with full referential integrity.
</p>

<h2>Key Features</h2>
<ul>
  <li><b>Full Model Persistence:</b> Saves/loads complete catalog structures including all
      definitions, entities, hierarchies, aspects, and properties</li>
  <li><b>Transaction Management:</b> All save operations execute within transactions with
      automatic rollback on failure</li>
  <li><b>Two Persistence Modes:</b> Supports both default schema tables and custom table
      mappings via {@link AspectTableMapping}</li>
  <li><b>DDL Management:</b> Provides methods to create, audit, and drop the Cheap database schema</li>
  <li><b>CheapFactory Integra"
java_class_4b2ceb4c7cd43915,PostgresDaoTest,PostgresDaoTest,class,java,net.netbeing.cheap.db.postgres,D:\src\claude\cheap\cheap-db-postgres\src\test\java\net\netbeing\cheap\db\postgres\PostgresDaoTest.java,49,,,,,,,,,,net.netbeing.cheap.db.postgres.PostgresDaoTest
java_class_8c09aa0445ab5280,PostgresJsonRoundtripTest,PostgresJsonRoundtripTest,class,java,net.netbeing.cheap.db.postgres,D:\src\claude\cheap\cheap-db-postgres\src\test\java\net\netbeing\cheap\db\postgres\PostgresJsonRoundtripTest.java,44,,,,,,,,,,net.netbeing.cheap.db.postgres.PostgresJsonRoundtripTest
java_class_254a76c9a01460dd,SqliteAdapter,SqliteAdapter,class,java,net.netbeing.cheap.db.sqlite,D:\src\claude\cheap\cheap-db-sqlite\src\main\java\net\netbeing\cheap\db\sqlite\SqliteAdapter.java,25,,,,,,,,,,net.netbeing.cheap.db.sqlite.SqliteAdapter
java_class_f1d66bb7c7e2f8a2,SqliteCatalog,SqliteCatalog,class,java,net.netbeing.cheap.db.sqlite,D:\src\claude\cheap\cheap-db-sqlite\src\main\java\net\netbeing\cheap\db\sqlite\SqliteCatalog.java,71,,,,,,,,,,"Catalog implementation that loads SQLite database tables as Cheap AspectMapHierarchies.
<p>
This class extends {@link JdbcCatalogBase} to provide SQLite-specific database metadata
access and type mapping. It introspects SQLite database schemas to automatically create
AspectDefs from table definitions, and loads table data as aspects within the catalog.
</p>
<p>
Each table in the SQLite database is represented as an AspectDef with properties
corresponding to the table's columns. The table data is loaded into an AspectMapHierarchy
where each row becomes an Aspect attached to an Entity.
</p>
<p>
SQLite-specific characteristics handled by this class:
</p>
<ul>
  <li>No schema names (SQLite doesn't use schemas)</li>
  <li>Type affinity system where column types map to property types</li>
  <li>Metadata accessed via sqlite_master system table</li>
  <li>Dynamic typing with TEXT, INTEGER, REAL, BLOB, and NUMERIC affinities</li>
</ul>
<p>
Usage example:
</p>
<pre>{@code"
java_class_031f08c62d8c99bc,SqliteCatalogTest,SqliteCatalogTest,class,java,net.netbeing.cheap.db.sqlite,D:\src\claude\cheap\cheap-db-sqlite\src\test\java\net\netbeing\cheap\db\sqlite\SqliteCatalogTest.java,36,,,,,,,,,,net.netbeing.cheap.db.sqlite.SqliteCatalogTest
java_class_7b5a629c8651d94f,SqliteCheapSchema,SqliteCheapSchema,class,java,net.netbeing.cheap.db.sqlite,D:\src\claude\cheap\cheap-db-sqlite\src\main\java\net\netbeing\cheap\db\sqlite\SqliteCheapSchema.java,47,,,,,,,,,,"Utility class for executing SQLite DDL scripts to manage the Cheap database schema.
Provides methods to create, audit, drop, and truncate the Cheap schema in SQLite databases.

<h2>Usage</h2>
<pre>{@code
// With DataSource
DataSource dataSource = createSqliteDataSource(""jdbc:sqlite:cheapdb.db"");
SqliteCheapSchema schema = new SqliteCheapSchema();
schema.executeMainSchemaDdl(dataSource);

// With Connection (for in-memory databases)
Connection connection = dataSource.getConnection();
schema.executeMainSchemaDdl(connection);
}</pre>
"
java_class_e8dc7d1bf64344e3,SqliteCheapSchemaTest,SqliteCheapSchemaTest,class,java,net.netbeing.cheap.db.sqlite,D:\src\claude\cheap\cheap-db-sqlite\src\test\java\net\netbeing\cheap\db\sqlite\SqliteCheapSchemaTest.java,33,,,,,,,,,,net.netbeing.cheap.db.sqlite.SqliteCheapSchemaTest
java_class_c90292b468f3461f,SqliteDao,SqliteDao,class,java,net.netbeing.cheap.db.sqlite,D:\src\claude\cheap\cheap-db-sqlite\src\main\java\net\netbeing\cheap\db\sqlite\SqliteDao.java,66,,,,,,,,,,"Data Access Object for persisting and loading complete Catalog instances
to/from a SQLite database using the Cheap schema.
<p>
This DAO provides comprehensive persistence capabilities for the entire Cheap data model,
including catalogs, aspect definitions, hierarchies, entities, aspects, and properties.
It supports transactional saves and loads with full referential integrity.
</p>

<h2>SQLite-Specific Considerations</h2>
<ul>
  <li><b>UUID Storage:</b> UUIDs are stored as TEXT (36-character strings)</li>
  <li><b>Boolean Storage:</b> Booleans are stored as INTEGER (0 or 1)</li>
  <li><b>Timestamp Storage:</b> Timestamps are stored as TEXT in ISO8601 format</li>
  <li><b>Foreign Keys:</b> Must be explicitly enabled per connection</li>
</ul>

@see CheapDao
@see AspectTableMapping
@see CheapFactory
@see Catalog
"
java_class_ad9d9df70a487066,SqliteDaoTest,SqliteDaoTest,class,java,net.netbeing.cheap.db.sqlite,D:\src\claude\cheap\cheap-db-sqlite\src\test\java\net\netbeing\cheap\db\sqlite\SqliteDaoTest.java,48,,,,,,,,,,net.netbeing.cheap.db.sqlite.SqliteDaoTest
java_class_b0f82b6d5483b139,SqliteJsonRoundtripTest,SqliteJsonRoundtripTest,class,java,net.netbeing.cheap.db.sqlite,D:\src\claude\cheap\cheap-db-sqlite\src\test\java\net\netbeing\cheap\db\sqlite\SqliteJsonRoundtripTest.java,42,,,,,,,,,,net.netbeing.cheap.db.sqlite.SqliteJsonRoundtripTest
java_class_dccf357f7860ad11,AspectBaseImpl,AspectBaseImpl,class,java,net.netbeing.cheap.impl.basic,D:\src\claude\cheap\cheap-core\src\main\java\net\netbeing\cheap\impl\basic\AspectBaseImpl.java,38,,,,,,,,,,"Abstract base class for Aspect implementations providing common functionality.
This class manages the basic relationships between an aspect, its entity
and aspect definition.
<p>
Subclasses must implement the specific property storage and access mechanisms
while this base class handles the fundamental aspect metadata.

@see Aspect
@see AspectDef
@see Entity
"
java_class_170b9f858339c787,AspectBuilderBase,AspectBuilderBase,class,java,net.netbeing.cheap.impl.basic,D:\src\claude\cheap\cheap-core\src\main\java\net\netbeing\cheap\impl\basic\AspectBuilderBase.java,64,,,,,,,,,,"Abstract base class providing common functionality for AspectBuilder implementations.
This class handles entity management, aspect definition storage, property collection,
and validation logic that is shared across different builder implementations.

<p>The base class maintains state for the entity, aspect definition, and properties,
and provides template methods for subclasses to customize the aspect creation process
while reusing common validation and property management logic.</p>

<p>Subclasses must implement {@link #createAspect()} to provide the specific logic
for creating the appropriate aspect type with the configured entity, aspect definition,
and properties.</p>

<p>Key features provided by this base class:</p>
<ul>
  <li>Entity and aspect definition management with validation</li>
  <li>Property collection with both name-value and Property object support</li>
  <li>Standard validation for build prerequisites</li>
  <li>Reset functionality for builder reuse</"
java_class_a9a3e907df91c620,AspectDefBase,AspectDefBase,class,java,net.netbeing.cheap.impl.basic,D:\src\claude\cheap\cheap-core\src\main\java\net\netbeing\cheap\impl\basic\AspectDefBase.java,42,,,,,,,,,,"Abstract base class for AspectDef implementations providing common functionality.
This class manages the basic structure of an aspect definition including its
name and property definitions.
<p>
Subclasses should implement the mutability methods (canAddProperties, canRemoveProperties)
and any modification operations (add, remove) as appropriate.

@see AspectDef
@see ImmutableAspectDefImpl
@see MutableAspectDefImpl
@see PropertyDef
"
java_class_d3bb2b927943e51b,AspectDefHashTest,AspectDefHashTest,class,java,net.netbeing.cheap.impl.basic,D:\src\claude\cheap\cheap-core\src\test\java\net\netbeing\cheap\impl\basic\AspectDefHashTest.java,19,,,,,,,,,,"Tests for verifying that identical AspectDef instances produce the same hash value,
even when using different implementations (FullAspectDefImpl vs MutableAspectDefImpl).
"
java_class_364f1aaafe40e4e0,AspectMapHierarchyImpl,AspectMapHierarchyImpl,class,java,net.netbeing.cheap.impl.basic,D:\src\claude\cheap\cheap-core\src\main\java\net\netbeing\cheap\impl\basic\AspectMapHierarchyImpl.java,36,,,,,,,,,,"Basic implementation of an AspectMapHierarchy that maps entities to aspects.
This hierarchy type stores a mapping from entity IDs to aspects of a single type.
<p>
This class uses composition with an internal LinkedHashMap to provide efficient
entity-to-aspect lookups while implementing the {@link AspectMapHierarchy} interface.

@see AspectMapHierarchy
@see Hierarchy
"
java_class_8eb4c058e2e5f0b9,AspectMapHierarchyImplTest,AspectMapHierarchyImplTest,class,java,net.netbeing.cheap.impl.basic,D:\src\claude\cheap\cheap-core\src\test\java\net\netbeing\cheap\impl\basic\AspectMapHierarchyImplTest.java,15,,,,,,,,,,net.netbeing.cheap.impl.basic.AspectMapHierarchyImplTest
java_class_ed9fe6755d46de2e,AspectMapImpl,AspectMapImpl,class,java,net.netbeing.cheap.impl.basic,D:\src\claude\cheap\cheap-core\src\main\java\net\netbeing\cheap\impl\basic\AspectMapImpl.java,41,,,,,,,,,,"Basic implementation of an AspectMap that maps entities to aspects of a single type.
<p>
This class uses composition with an internal LinkedHashMap to provide efficient
entity-to-aspect lookups while implementing the {@link AspectMap} interface.

@see AspectMap
"
java_class_8c98020664734158,AspectObjectMapBuilder,AspectObjectMapBuilder,class,java,net.netbeing.cheap.impl.basic,D:\src\claude\cheap\cheap-core\src\main\java\net\netbeing\cheap\impl\basic\AspectObjectMapBuilder.java,40,,,,,,,,,,"Builder implementation for creating AspectObjectMapImpl instances using the builder pattern.
This class provides a fluent interface for configuring and building aspects with property values.

<p>This implementation extends {@link AspectBuilderBase} to inherit common builder functionality
while providing specific logic for creating {@link AspectObjectMapImpl} instances.</p>

<p>Example usage:</p>
<pre>{@code
AspectObjectMapBuilder builder = new AspectObjectMapBuilder();
Aspect aspect = builder
    .entity(myEntity)
    .aspectDef(myAspectDef)
    .property(""name"", ""John Doe"")
    .property(""age"", 30)
    .build();
}</pre>
"
java_class_8efb323892b0c164,AspectObjectMapBuilderTest,AspectObjectMapBuilderTest,class,java,net.netbeing.cheap.impl.basic,D:\src\claude\cheap\cheap-core\src\test\java\net\netbeing\cheap\impl\basic\AspectObjectMapBuilderTest.java,17,,,,,,,,,,net.netbeing.cheap.impl.basic.AspectObjectMapBuilderTest
java_class_068cbcb2440be1e1,AspectObjectMapImpl,AspectObjectMapImpl,class,java,net.netbeing.cheap.impl.basic,D:\src\claude\cheap\cheap-core\src\main\java\net\netbeing\cheap\impl\basic\AspectObjectMapImpl.java,37,,,,,,,,,,"Basic implementation of an Aspect that stores properties in a HashMap.
Not all properties must be explicitly assigned values; any property included
in the AspectDef that is not explicitly assigned.

@see AspectBaseImpl
@see Aspect
"
java_class_30e68dafa220d260,AspectObjectMapImplTest,AspectObjectMapImplTest,class,java,net.netbeing.cheap.impl.basic,D:\src\claude\cheap\cheap-core\src\test\java\net\netbeing\cheap\impl\basic\AspectObjectMapImplTest.java,13,,,,,,,,,,net.netbeing.cheap.impl.basic.AspectObjectMapImplTest
java_class_90adffe92d5877d9,AspectPropertyMapBuilder,AspectPropertyMapBuilder,class,java,net.netbeing.cheap.impl.basic,D:\src\claude\cheap\cheap-core\src\main\java\net\netbeing\cheap\impl\basic\AspectPropertyMapBuilder.java,54,,,,,,,,,,"Builder implementation for creating AspectPropertyMapImpl instances using the builder pattern.
This class provides a fluent interface for configuring and building aspects with Property objects.

<p>This builder enforces strict validation against the AspectDef, ensuring that all properties
are defined in the aspect definition and that property values are compatible with their types.
PropertyDef objects are only taken from the aspectDef, never constructed.</p>

<p>The builder maintains state for the entity, aspect definition, and properties until
{@link #build()} is called, at which point it creates and returns an AspectPropertyMapImpl
instance with all configured values.</p>

<p>Example usage:</p>
<pre>{@code
AspectPropertyMapBuilder builder = new AspectPropertyMapBuilder();
Aspect aspect = builder
    .entity(entity)
    .aspectDef(myAspectDef)
    .property(""name"", ""John Doe"")
    .property(""age"", 30)
    .build();
}</pre>
"
java_class_2ec7ce65bfff18ed,AspectPropertyMapBuilderTest,AspectPropertyMapBuilderTest,class,java,net.netbeing.cheap.impl.basic,D:\src\claude\cheap\cheap-core\src\test\java\net\netbeing\cheap\impl\basic\AspectPropertyMapBuilderTest.java,18,,,,,,,,,,net.netbeing.cheap.impl.basic.AspectPropertyMapBuilderTest
java_class_b589fe25f3416d9e,AspectPropertyMapImpl,AspectPropertyMapImpl,class,java,net.netbeing.cheap.impl.basic,D:\src\claude\cheap\cheap-core\src\main\java\net\netbeing\cheap\impl\basic\AspectPropertyMapImpl.java,42,,,,,,,,,,"Implementation of an Aspect that stores properties as Property objects in a HashMap.
This implementation provides type-safe property access and validation while maintaining
insertion order.
<p>
Unlike {@link AspectObjectMapImpl}, this implementation stores actual Property objects
rather than raw values, providing better type safety and validation capabilities.

@see AspectBaseImpl
@see Aspect
@see Property
@see AspectObjectMapImpl
"
java_class_29185b4aa6f16a93,AspectPropertyMapImplTest,AspectPropertyMapImplTest,class,java,net.netbeing.cheap.impl.basic,D:\src\claude\cheap\cheap-core\src\test\java\net\netbeing\cheap\impl\basic\AspectPropertyMapImplTest.java,12,,,,,,,,,,net.netbeing.cheap.impl.basic.AspectPropertyMapImplTest
java_class_c9cf261a7658aed3,CachingEntityMultiCatalogImpl,CachingEntityMultiCatalogImpl,class,java,net.netbeing.cheap.impl.basic,D:\src\claude\cheap\cheap-core\src\main\java\net\netbeing\cheap\impl\basic\CachingEntityMultiCatalogImpl.java,38,,,,,,,,,,"Implementation of LocalEntity that only has Aspects in a single Catalog, and
caches Aspects within this instance for faster lookup.

<p>The {@link #getAspect(AspectDef, Catalog) getAspect} method will return a valid
response if it is passed a different Catalog, but it will only cache the Aspect
if it resides in the configured Catalog.</p>

@see LocalEntityOneCatalogImpl
"
